scientific_name;genus;family;count_species_total;pct_species_total;count_species_street;pct_species_street;count_species_park;pct_species_park;biodiv_index;Moose;Flechte;Wildbienen;Schmetterlinge;Käfer;Vögel;Säugetiere;volume;growth_type;s_MEAN_dbh_cm;s_MEAN_height_m;s_MEAN_crown_m;s_MEDIAN_dbh_cm;s_MEDIAN_height_m;s_MEDIAN_crown_m;s_MAX_dbh_cm;s_MAX_height_m;s_MAX_crown_m;p_MEAN_dbh_cm;p_MEAN_height_m;p_MEAN_crown_m;p_MEDIAN_dbh_cm;p_MEDIAN_height_m;p_MEDIAN_crown_m;p_MAX_dbh_cm;p_MAX_height_m;p_MAX_crown_m;s_MEAN_age;p_MEAN_age;count_genus_total;pct_genus_all;count_genus_park;pct_genus_park;count_genus_street;pct_genus_street;count_family_total;pct_family_all;count_family_park;pct_family_park;count_family_street;pct_family_street
Amelanchier × lamarckii;Amelanchier;Rosaceae;14;0.45916694;5;0.345303867;9;0.562148657;;;;;;;;;;;8.785352859;5;4;8.912676813;5;4;9.549296586;5;4;8.806573517;4.555555556;3.777777778;9.230986699;5;4;11.4591559;5;4;31.6;28.44444444;60;1.967858314;9;0.562148657;51;3.522099448;344;11.28238767;204;12.74203623;140;9.668508287
Amelanchier arborea ;Amelanchier;Rosaceae;46;1.508691374;46;3.17679558;;;;;;;;;;;;;6.933619694;4.695652174;2.847826087;6.68450761;4;2;14.64225476;7;8;;;;;;;;;;13.81818182;;60;1.967858314;9;0.562148657;51;3.522099448;344;11.28238767;204;12.74203623;140;9.668508287
Betula albosinensis ;Betula;Betulaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;9.549296586;8;6;9.549296586;8;6;9.549296586;8;6;;;58;1.902263037;48;2.998126171;10;0.690607735;334;10.95441128;214;13.36664585;120;8.287292818
Betula pendula ;Betula;Betulaceae;55;1.803870121;10;0.690607735;45;2.810743285;3.7;;;;;;;;;;39.31127094;17.5;12.2;42.4943698;18;14;50.92958179;22;14;39.22285153;17.73333333;11.33333333;39.78873577;18;12;73.21127382;27;18;31.83333333;32.9047619;58;1.902263037;48;2.998126171;10;0.690607735;334;10.95441128;214;13.36664585;120;8.287292818
Betula pubescens;Betula;Betulaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;25.46479089;14;14;25.46479089;14;14;25.46479089;14;14;;26;58;1.902263037;48;2.998126171;10;0.690607735;334;10.95441128;214;13.36664585;120;8.287292818
Betula utilis ;Betula;Betulaceae;1;0.032797639;;;1;0.062460962;;1;3;;1;1;2;3;318;S;;;;;;;;;;4.456338407;5;2;4.456338407;5;2;4.456338407;5;2;;;58;1.902263037;48;2.998126171;10;0.690607735;334;10.95441128;214;13.36664585;120;8.287292818
Carpinus betulus ;Carpinus;Betulaceae;160;5.247622171;44;3.038674033;116;7.24547158;3.3;1;2;;2;1;2;2;392;S;21.17484175;9.613636364;7.681818182;16.2338042;8;6;51.88451145;22;18;32.47035244;12.14655172;10.06034483;30.39859413;12;12;110.1352206;25;22;19.52380952;34.78125;160;5.247622171;116;7.24547158;44;3.038674033;334;10.95441128;214;13.36664585;120;8.287292818
Carya ovata ;Carya;Juglandaceae;1;0.032797639;;;1;0.062460962;;;;;;;;;;;;;;;;;;;;9.230986699;6;6;9.230986699;6;6;9.230986699;6;6;;;1;0.032797639;1;0.062460962;;;43;1.410298459;33;2.061211743;10;0.690607735
Castanea sativa ;Castanea;Fagaceae;17;0.557559856;2;0.138121547;15;0.936914428;;3;4;;1;1;2;2;982;S;19.09859317;6;7;19.09859317;6;7;31.83098862;7;10;33.71962728;9.266666667;9.866666667;17.50704374;7;8;117.7746579;22;18;9;10;17;0.557559856;15;0.936914428;2;0.138121547;206;6.756313545;75;4.684572142;131;9.046961326
Catalpa bignonioides ;Catalpa;Bignoniaceae;6;0.196785831;1;0.069060773;5;0.312304809;1.8;3;3;;1;1;1;1;118;S;71.30141451;10;8;71.30141451;10;8;71.30141451;10;8;57.23211754;8.4;10;50.92958179;8;12;101.8591636;15;14;85;28;6;0.196785831;5;0.312304809;1;0.069060773;6;0.196785831;5;0.312304809;1;0.069060773
Cedrus atlantica ;Cedrus;Pinaceae;1;0.032797639;;;1;0.062460962;1.7;3;3;2;1;1;1;2;79;L;;;;;;;;;;103.450713;16;16;103.450713;16;16;103.450713;16;16;;;4;0.131190554;3;0.187382886;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Cedrus deodara ;Cedrus;Pinaceae;2;0.065595277;;;2;0.124921924;;;;;;;;;;;;;;;;;;;;94.69719115;21;14;94.69719115;21;14;143.2394488;28;20;;;4;0.131190554;3;0.187382886;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Cedrus libani ;Cedrus;Pinaceae;1;0.032797639;1;0.069060773;;;;;;;;;;;;;18.14366351;6;6;18.14366351;6;6;18.14366351;6;6;;;;;;;;;;;;4;0.131190554;3;0.187382886;1;0.069060773;102;3.345359134;85;5.309181761;17;1.174033149
Celtis australis ;Celtis;Cannabaceae;19;0.623155133;17;1.174033149;2;0.124921924;2.2;;;;;;;;;;5.729577951;5;2;5.729577951;5;2;5.729577951;5;2;52.52113122;11;11.5;52.52113122;11;11.5;76.39437268;17;18;6;7;19;0.623155133;2;0.124921924;17;1.174033149;19;0.623155133;2;0.124921924;17;1.174033149
Cercidiphyllum japonicum ;Cercidiphyllum;Cercidiphyllaceae;15;0.491964579;3;0.20718232;12;0.749531543;1.7;;;;;;;;;;8.806573518;5;3.333333333;9.230986699;5;4;10.18591636;6;4;23.36925081;7.5;5.583333333;11.14084602;5.5;4;110.7718404;18;14;12;13.5;15;0.491964579;12;0.749531543;3;0.20718232;15;0.491964579;12;0.749531543;3;0.20718232
Cercis siliquastrum;Cercis;Fabaceae;1;0.032797639;;;1;0.062460962;1.7;;;;;;;;;;;;;;;;;;;7.957747155;6;4;7.957747155;6;4;7.957747155;6;4;;;1;0.032797639;1;0.062460962;;;48;1.574286651;8;0.499687695;40;2.762430939
Chamaecyparis lawsoniana ;Chamaecyparis;Cupressaceae;50;1.639881929;3;0.20718232;47;2.935665209;1.5;;;;;;;;;;27.05634033;7.666666667;5.333333333;26.73803044;6;6;36.9239468;11;6;32.69110257;12.25531915;5.127659574;14.00563499;5;2;109.4986008;30;20;39;15.48148148;59;1.935060676;55;3.435352904;4;0.276243094;100;3.279763857;96;5.996252342;4;0.276243094
Chamaecyparis nootkatensis ;Chamaecyparis;Cupressaceae;1;0.032797639;;;1;0.062460962;;3;3;3;1;1;2;2;785;L;;;;;;;;;;65.57183655;30;10;65.57183655;30;10;65.57183655;30;10;;;59;1.935060676;55;3.435352904;4;0.276243094;100;3.279763857;96;5.996252342;4;0.276243094
Chamaecyparis obtusa ;Chamaecyparis;Cupressaceae;1;0.032797639;1;0.069060773;;;;;;;;;;;;;23.55493158;5;4;23.55493158;5;4;23.55493158;5;4;;;;;;;;;;;;59;1.935060676;55;3.435352904;4;0.276243094;100;3.279763857;96;5.996252342;4;0.276243094
